,Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
26,1606207923,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,848,268,3,2,1606207923002;1606207923002;1606207923006;1606207923007;1606207923047;,371;371;106;162;106;,1;1;2;2;1;
27,1606207925,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,462,0,2,0,1606207925282;1606207925282;,231;231;,1;1;
28,1606207926,AnonIP1,AnonPort1,AnonIP2,AnonPort2,58,120,0,1,0,1606207926792;,120;,1;
29,1606207927,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,127,138,1,1,1606207927842;1606207927888;,127;138;,1;2;
30,1606207928,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,4122,708,7,5,1606207928004;1606207928004;1606207928283;1606207928284;1606207928949;1606207928949;1606207928953;1606207928973;1606207928973;1606207928974;1606207928974;1606207928974;,371;371;231;231;1366;986;566;126;126;165;126;165;,1;1;1;1;1;1;1;2;2;2;2;2;
31,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,1760,4115,11,16,1606207929015;1606207929016;1606207929031;1606207929031;1606207929031;1606207929032;1606207929032;1606207929032;1606207929033;1606207929112;1606207929112;1606207929112;1606207929112;1606207929112;1606207929112;1606207929112;1606207929112;1606207929113;1606207929113;1606207929113;1606207929125;1606207929135;1606207929239;1606207929256;1606207929355;1606207929355;1606207929356;,126;126;521;332;328;165;126;126;165;126;192;211;303;165;256;399;383;126;126;126;165;422;126;126;191;291;126;,1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;
32,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,2,60,0,2,0,1606207929250;1606207929250;,28;32;,1;1;
33,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,0,76,0,1,0,1606207929251;,76;,1;
34,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,2,32,0,1,0,1606207929762;,32;,1;
35,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,2,32,0,1,0,1606207929762;,32;,1;
36,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,2,32,0,1,0,1606207929763;,32;,1;
37,1606207929,AnonIP1,AnonPort1,AnonIP2,AnonPort2,2,32,0,1,0,1606207929766;,32;,1;
38,1606207930,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,2349,390,3,3,1606207930109;1606207930137;1606207930945;1606207930946;1606207930966;1606207930970;,127;138;1366;856;126;126;,1;2;1;1;2;2;
39,1606207931,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,775,1701,5,6,1606207931016;1606207931028;1606207931028;1606207931028;1606207931028;1606207931029;1606207931029;1606207931031;1606207931037;1606207931050;1606207931293;,127;523;424;325;165;126;126;165;138;126;231;,1;2;2;2;2;1;1;1;2;2;1;
40,1606207931,AnonIP1,AnonPort1,AnonIP2,AnonPort2,6,77,40,1,1,1606207931492;1606207931511;,77;40;,1;2;
41,1606207932,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,828,1068,5,6,1606207932938;1606207932946;1606207932967;1606207932986;1606207932993;1606207932993;1606207932994;1606207932994;1606207932994;1606207932994;1606207932995;,162;249;165;162;219;200;157;126;165;126;165;,1;1;2;2;2;2;2;1;2;1;1;
42,1606207933,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,1100,466,5,3,1606207933001;1606207933001;1606207933020;1606207933028;1606207933594;1606207933599;1606207933636;1606207933640;,371;371;126;106;170;170;126;126;,1;1;2;1;2;2;1;1;
43,1606207934,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,462,0,2,0,1606207934294;1606207934294;,231;231;,1;1;
44,1606207935,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,107,118,1,1,1606207935671;1606207935690;,107;118;,1;2;
45,1606207936,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,374,275,3,2,1606207936399;1606207936487;1606207936529;1606207936605;1606207936624;,141;137;106;127;138;,1;2;1;1;2;
